TAT_ID|KD_PLU|TGL_AWAL|TGL_AKHIR
3166/TAT/HO/12/2020|20092879|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20092880|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20093051|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20093287|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20093337|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20094570|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20096765|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20098731|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20099544|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20099545|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20099546|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20100941|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20101056|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20101151|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20101811|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20101812|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20102080|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20102730|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20102731|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20102824|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20102839|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20102840|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20103699|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20103700|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20105993|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20106233|05/12/2020|31/12/2020
3190/TAT/HO/12/2020|20078877|17/12/2020|05/01/2021
3190/TAT/HO/12/2020|20078878|17/12/2020|05/01/2021
3190/TAT/HO/12/2020|20078884|17/12/2020|05/01/2021
3190/TAT/HO/12/2020|20078886|17/12/2020|05/01/2021
3190/TAT/HO/12/2020|20078895|17/12/2020|05/01/2021
3190/TAT/HO/12/2020|20078900|17/12/2020|05/01/2021
3190/TAT/HO/12/2020|20082421|17/12/2020|05/01/2021
3190/TAT/HO/12/2020|20082422|17/12/2020|05/01/2021
3190/TAT/HO/12/2020|20082423|17/12/2020|05/01/2021
3190/TAT/HO/12/2020|20082424|17/12/2020|05/01/2021
3190/TAT/HO/12/2020|20085459|17/12/2020|05/01/2021
3190/TAT/HO/12/2020|20088555|17/12/2020|05/01/2021
3190/TAT/HO/12/2020|20090959|17/12/2020|05/01/2021
3190/TAT/HO/12/2020|20091016|17/12/2020|05/01/2021
3190/TAT/HO/12/2020|20091017|17/12/2020|05/01/2021
3190/TAT/HO/12/2020|20091019|17/12/2020|05/01/2021
3190/TAT/HO/12/2020|20091022|17/12/2020|05/01/2021
3190/TAT/HO/12/2020|20091023|17/12/2020|05/01/2021
3190/TAT/HO/12/2020|20091030|17/12/2020|05/01/2021
3190/TAT/HO/12/2020|20091032|17/12/2020|05/01/2021
3190/TAT/HO/12/2020|20091033|17/12/2020|05/01/2021
3190/TAT/HO/12/2020|20091041|17/12/2020|05/01/2021
3190/TAT/HO/12/2020|20091043|17/12/2020|05/01/2021
3190/TAT/HO/12/2020|20091045|17/12/2020|05/01/2021
3190/TAT/HO/12/2020|20091046|17/12/2020|05/01/2021
3190/TAT/HO/12/2020|20094481|17/12/2020|05/01/2021
3190/TAT/HO/12/2020|20104106|17/12/2020|05/01/2021
